term,layer,layer_name,definition,source,auto_quality_notes,reviewer_verdict,corrected_definition,reviewer_comment,review_date
丝及绢丝制非,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现3次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
桌用织物制品,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现3次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
餐桌用织物制,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现3次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
用品,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现3次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
橡胶制鞋面的,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现3次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
鞋靴,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现3次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
外底,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现3次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
未列名丝机织,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
未碳化,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
山羊绒毛,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
动物粗毛或马,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
纤长丝混纺机,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
纤短纤混纺机,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
含棉,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
未漂三或四线,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
未漂布,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
漂白三或四线,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
染色三或四线,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
印花三或四线,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
劳动布,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
其他未漂棉布,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
其他漂白棉布,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
其他染色棉布,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
其他色织棉布,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
其他印花棉布,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
废麻,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
生的或经加工,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
落麻及废料,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
未列名纺织用,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
其他纺织用韧,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
的色纱线,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
未漂白的布,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
漂白的布,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
其他含亚麻,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
其他纺织韧皮,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
未漂白机织物,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
纺制的高强力,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
酰胺弹力丝,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
其他变形纱线,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
其他尼龙或聚,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
聚丙烯长丝单,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
弹性纱线除外,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
断裂强度不小,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
且初始模量不,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
小于,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
分特的聚乙烯,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
其他尼龙或其,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
未列名合成纤,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
维长丝多股纱,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
竹制粘胶纤维,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
其他粘胶纤维,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
其他醋酸纤维,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
与棉混纺未漂,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
长丝染色布,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
长丝色织布,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
长丝印花布,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
含醋酸长丝,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
含粘胶纤维长,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
含醋酸纤维长,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
间苯二胺短纤,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
对苯二胺短纤,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
性聚丙烯腈短,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
的未漂或漂白,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
棉混未漂平纹,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
棉混漂白平纹,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
棉混未漂斜纹,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
棉混漂白斜纹,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
棉混漂白布,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
棉混未漂或漂,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
棉混染色平纹,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
棉混色织平纹,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
棉混色织斜纹,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
棉混印花平纹,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
棉混印花斜纹,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
纺未漂或漂白,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
纺染色布,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
纺色织布,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
纺印花布,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
混纺染色布,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
混纺色织布,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
混纺印花布,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
胎及其制品,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
未浸涂,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
丝无纺织物,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
其他材料制未,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
浸涂的其他材,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
料无纺织物,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
未浸涂其他材,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
聚乙烯或聚丙,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
化纤材料制成,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
毛制起绒结构,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
的铺地制品,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
化纤制起绒结,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
毛制非起绒结,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
化纤制非起绒,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
结构的铺地制,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
簇绒地毯及未,layer_3_textile_chain,纺织产业链实体术语（八段式：原料→纺纱→织造→染整→成衣→终端品类→智能制造→绿色低碳）,HS纺织章节商品分类中的核心术语，在1214条HS商品名中出现2次。,中国海关HS商品编码表 (纺织),自动生成定义（频次统计），需人工核实,,,,
